time (s),rssi (dBm),longitude (deg),latitude (deg),error (dil)
1448229922.732,-63,64.8586103,-147.81650011666667,0.6
1448229927.928,-66,64.8586414,-147.8163888,0.4
1448229933.031,-73,64.8586414,-147.8163888,0.8
1448229938.121,-71,64.8586414,-147.8163888,0.8
1448229943.24,-55,64.8586414,-147.8163888,0.8
1448229948.428,-55,64.8586414,-147.8163888,0.8
1448229953.609,-46,64.8586414,-147.8163888,1.2
1448229958.79,-46,64.8586414,-147.8163888,1.2
1448229963.971,-45,64.8586414,-147.8163888,1.2
1448229969.075,-45,64.8586414,-147.8163888,1.2
1448229974.17,-61,64.8586414,-147.8163888,1.2
1448229979.365,-67,64.8586414,-147.8163888,1.6
1448229984.548,-79,64.85851888333333,-147.81659116666665,1.2
1448229989.657,-74,64.85851888333333,-147.81659116666665,1.2
1448229994.837,-68,64.85851888333333,-147.81659116666665,1.2
1448230000.02,-73,64.85851888333333,-147.81659116666665,1.2
1448230005.2,-67,64.85851888333333,-147.81659116666665,4.8
1448230010.301,-69,64.85851888333333,-147.81659116666665,1.6
1448230015.484,-77,64.85851888333333,-147.81659116666665,3.2
1448230020.654,-82,64.85851888333333,-147.81659116666665,1.6
